benchmark	phase	run	exit_code	wall_seconds
all-pairs-distance-cuda	build	0	0	NA
all-pairs-distance-cuda	warmup	1	0	5.48
all-pairs-distance-cuda	measured	1	0	5.42
all-pairs-distance-cuda	measured	2	0	5.41
all-pairs-distance-cuda	measured	3	0	5.41
all-pairs-distance-cuda	measured	4	0	5.42
all-pairs-distance-cuda	measured	5	0	5.42
atomicReduction-cuda	build	0	0	NA
atomicReduction-cuda	warmup	1	0	1.24
atomicReduction-cuda	measured	1	0	1.23
atomicReduction-cuda	measured	2	0	1.24
atomicReduction-cuda	measured	3	0	1.21
atomicReduction-cuda	measured	4	0	1.23
atomicReduction-cuda	measured	5	0	1.23
bfs-cuda	build	0	0	NA
bfs-cuda	warmup	1	0	1.27
bfs-cuda	measured	1	0	1.21
bfs-cuda	measured	2	0	1.21
bfs-cuda	measured	3	0	1.21
bfs-cuda	measured	4	0	1.18
bfs-cuda	measured	5	0	1.20
bilateral-cuda	build	0	0	NA
bilateral-cuda	warmup	1	0	17.35
bilateral-cuda	measured	1	0	17.32
bilateral-cuda	measured	2	0	17.34
bilateral-cuda	measured	3	0	17.36
bilateral-cuda	measured	4	0	17.32
bilateral-cuda	measured	5	0	17.33
bscan-cuda	build	0	0	NA
bscan-cuda	warmup	1	0	3.28
bscan-cuda	measured	1	0	3.24
bscan-cuda	measured	2	0	3.25
bscan-cuda	measured	3	0	3.23
bscan-cuda	measured	4	0	3.23
bscan-cuda	measured	5	0	3.24
convolution1D-cuda	build	0	0	NA
convolution1D-cuda	warmup	1	0	578.14
convolution1D-cuda	measured	1	0	578.07
convolution1D-cuda	measured	2	0	578.34
convolution1D-cuda	measured	3	0	578.00
convolution1D-cuda	measured	4	0	578.58
convolution1D-cuda	measured	5	0	578.98
convolution3D-cuda	build	0	0	NA
convolution3D-cuda	warmup	1	0	66.96
convolution3D-cuda	measured	1	0	66.95
convolution3D-cuda	measured	2	0	66.92
convolution3D-cuda	measured	3	0	66.93
convolution3D-cuda	measured	4	0	66.98
convolution3D-cuda	measured	5	0	66.90
convolutionSeparable-cuda	build	0	0	NA
convolutionSeparable-cuda	warmup	1	0	5.25
convolutionSeparable-cuda	measured	1	0	5.25
convolutionSeparable-cuda	measured	2	0	5.24
convolutionSeparable-cuda	measured	3	0	5.30
convolutionSeparable-cuda	measured	4	0	5.36
convolutionSeparable-cuda	measured	5	0	5.25
fdtd3d-cuda	build	0	0	NA
fdtd3d-cuda	warmup	1	0	5.85
fdtd3d-cuda	measured	1	0	5.82
fdtd3d-cuda	measured	2	0	5.81
fdtd3d-cuda	measured	3	0	5.83
fdtd3d-cuda	measured	4	0	5.82
fdtd3d-cuda	measured	5	0	5.82
filter-cuda	build	0	0	NA
filter-cuda	warmup	1	0	21.20
filter-cuda	measured	1	0	21.12
filter-cuda	measured	2	0	21.16
filter-cuda	measured	3	0	21.07
filter-cuda	measured	4	0	21.20
filter-cuda	measured	5	0	21.10
floydwarshall-cuda	build	0	0	NA
floydwarshall-cuda	warmup	1	0	2.20
floydwarshall-cuda	measured	1	0	2.19
floydwarshall-cuda	measured	2	0	2.18
floydwarshall-cuda	measured	3	0	2.21
floydwarshall-cuda	measured	4	0	2.19
floydwarshall-cuda	measured	5	0	2.27
