benchmark,run,correctness,source
all-pairs-distance-cuda,1,pass,baseline/results/951758/all-pairs-distance-cuda/run-1.log
all-pairs-distance-cuda,2,pass,baseline/results/951758/all-pairs-distance-cuda/run-2.log
all-pairs-distance-cuda,3,pass,baseline/results/951758/all-pairs-distance-cuda/run-3.log
all-pairs-distance-cuda,4,pass,baseline/results/951758/all-pairs-distance-cuda/run-4.log
all-pairs-distance-cuda,5,pass,baseline/results/951758/all-pairs-distance-cuda/run-5.log
atomicReduction-cuda,1,pass,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,2,pass,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,3,pass,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,4,pass,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,5,pass,baseline/results/951758/atomicReduction-cuda/run-5.log
bfs-cuda,1,pass,baseline/results/951758/bfs-cuda/run-1.log
bfs-cuda,2,pass,baseline/results/951758/bfs-cuda/run-2.log
bfs-cuda,3,pass,baseline/results/951758/bfs-cuda/run-3.log
bfs-cuda,4,pass,baseline/results/951758/bfs-cuda/run-4.log
bfs-cuda,5,pass,baseline/results/951758/bfs-cuda/run-5.log
bilateral-cuda,1,pass,baseline/results/951758/bilateral-cuda/run-1.log
bilateral-cuda,2,pass,baseline/results/951758/bilateral-cuda/run-2.log
bilateral-cuda,3,pass,baseline/results/951758/bilateral-cuda/run-3.log
bilateral-cuda,4,pass,baseline/results/951758/bilateral-cuda/run-4.log
bilateral-cuda,5,pass,baseline/results/951758/bilateral-cuda/run-5.log
bscan-cuda,1,pass,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,2,pass,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,3,pass,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,4,pass,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,5,pass,baseline/results/951758/bscan-cuda/run-5.log
convolution1D-cuda,1,pass,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,2,pass,baseline/results/951758/convolution1D-cuda/run-2.log
convolution1D-cuda,3,pass,baseline/results/951758/convolution1D-cuda/run-3.log
convolution1D-cuda,4,pass,baseline/results/951758/convolution1D-cuda/run-4.log
convolution1D-cuda,5,pass,baseline/results/951758/convolution1D-cuda/run-5.log
convolution3D-cuda,1,pass,baseline/results/951758/convolution3D-cuda/run-1.log
convolution3D-cuda,2,pass,baseline/results/951758/convolution3D-cuda/run-2.log
convolution3D-cuda,3,pass,baseline/results/951758/convolution3D-cuda/run-3.log
convolution3D-cuda,4,pass,baseline/results/951758/convolution3D-cuda/run-4.log
convolution3D-cuda,5,pass,baseline/results/951758/convolution3D-cuda/run-5.log
convolutionSeparable-cuda,1,pass,baseline/results/951758/convolutionSeparable-cuda/run-1.log
convolutionSeparable-cuda,2,pass,baseline/results/951758/convolutionSeparable-cuda/run-2.log
convolutionSeparable-cuda,3,pass,baseline/results/951758/convolutionSeparable-cuda/run-3.log
convolutionSeparable-cuda,4,pass,baseline/results/951758/convolutionSeparable-cuda/run-4.log
convolutionSeparable-cuda,5,pass,baseline/results/951758/convolutionSeparable-cuda/run-5.log
fdtd3d-cuda,1,pass,baseline/results/951758/fdtd3d-cuda/run-1.log
fdtd3d-cuda,2,pass,baseline/results/951758/fdtd3d-cuda/run-2.log
fdtd3d-cuda,3,pass,baseline/results/951758/fdtd3d-cuda/run-3.log
fdtd3d-cuda,4,pass,baseline/results/951758/fdtd3d-cuda/run-4.log
fdtd3d-cuda,5,pass,baseline/results/951758/fdtd3d-cuda/run-5.log
filter-cuda,1,pass,baseline/results/951758/filter-cuda/run-1.log
filter-cuda,2,pass,baseline/results/951758/filter-cuda/run-2.log
filter-cuda,3,pass,baseline/results/951758/filter-cuda/run-3.log
filter-cuda,4,pass,baseline/results/951758/filter-cuda/run-4.log
filter-cuda,5,pass,baseline/results/951758/filter-cuda/run-5.log
floydwarshall-cuda,1,pass,baseline/results/951758/floydwarshall-cuda/run-1.log
floydwarshall-cuda,2,pass,baseline/results/951758/floydwarshall-cuda/run-2.log
floydwarshall-cuda,3,pass,baseline/results/951758/floydwarshall-cuda/run-3.log
floydwarshall-cuda,4,pass,baseline/results/951758/floydwarshall-cuda/run-4.log
floydwarshall-cuda,5,pass,baseline/results/951758/floydwarshall-cuda/run-5.log
gaussian-cuda,1,pass,baseline/results/951758/gaussian-cuda/run-1.log
gaussian-cuda,2,pass,baseline/results/951758/gaussian-cuda/run-2.log
gaussian-cuda,3,pass,baseline/results/951758/gaussian-cuda/run-3.log
gaussian-cuda,4,pass,baseline/results/951758/gaussian-cuda/run-4.log
gaussian-cuda,5,pass,baseline/results/951758/gaussian-cuda/run-5.log
heat-cuda,1,not_reported,baseline/results/951758/heat-cuda/run-1.log
heat-cuda,2,not_reported,baseline/results/951758/heat-cuda/run-2.log
heat-cuda,3,not_reported,baseline/results/951758/heat-cuda/run-3.log
heat-cuda,4,not_reported,baseline/results/951758/heat-cuda/run-4.log
heat-cuda,5,not_reported,baseline/results/951758/heat-cuda/run-5.log
histogram-cuda,1,pass,baseline/results/951758/histogram-cuda/run-1.log
histogram-cuda,2,pass,baseline/results/951758/histogram-cuda/run-2.log
histogram-cuda,3,pass,baseline/results/951758/histogram-cuda/run-3.log
histogram-cuda,4,pass,baseline/results/951758/histogram-cuda/run-4.log
histogram-cuda,5,pass,baseline/results/951758/histogram-cuda/run-5.log
hotspot-cuda,1,pass,baseline/results/951758/hotspot-cuda/run-1.log
hotspot-cuda,2,pass,baseline/results/951758/hotspot-cuda/run-2.log
hotspot-cuda,3,pass,baseline/results/951758/hotspot-cuda/run-3.log
hotspot-cuda,4,pass,baseline/results/951758/hotspot-cuda/run-4.log
hotspot-cuda,5,pass,baseline/results/951758/hotspot-cuda/run-5.log
hotspot3D-cuda,1,not_reported,baseline/results/951758/hotspot3D-cuda/run-1.log
hotspot3D-cuda,2,not_reported,baseline/results/951758/hotspot3D-cuda/run-2.log
hotspot3D-cuda,3,not_reported,baseline/results/951758/hotspot3D-cuda/run-3.log
hotspot3D-cuda,4,not_reported,baseline/results/951758/hotspot3D-cuda/run-4.log
hotspot3D-cuda,5,not_reported,baseline/results/951758/hotspot3D-cuda/run-5.log
jaccard-cuda,1,not_reported,baseline/results/951758/jaccard-cuda/run-1.log
jaccard-cuda,2,not_reported,baseline/results/951758/jaccard-cuda/run-2.log
jaccard-cuda,3,not_reported,baseline/results/951758/jaccard-cuda/run-3.log
jaccard-cuda,4,not_reported,baseline/results/951758/jaccard-cuda/run-4.log
jaccard-cuda,5,not_reported,baseline/results/951758/jaccard-cuda/run-5.log
jacobi-cuda,1,pass,baseline/results/951758/jacobi-cuda/run-1.log
jacobi-cuda,2,pass,baseline/results/951758/jacobi-cuda/run-2.log
jacobi-cuda,3,pass,baseline/results/951758/jacobi-cuda/run-3.log
jacobi-cuda,4,pass,baseline/results/951758/jacobi-cuda/run-4.log
jacobi-cuda,5,pass,baseline/results/951758/jacobi-cuda/run-5.log
laplace3d-cuda,1,pass,baseline/results/951758/laplace3d-cuda/run-1.log
laplace3d-cuda,2,pass,baseline/results/951758/laplace3d-cuda/run-2.log
laplace3d-cuda,3,pass,baseline/results/951758/laplace3d-cuda/run-3.log
laplace3d-cuda,4,pass,baseline/results/951758/laplace3d-cuda/run-4.log
laplace3d-cuda,5,pass,baseline/results/951758/laplace3d-cuda/run-5.log
lavaMD-cuda,1,not_reported,baseline/results/951758/lavaMD-cuda/run-1.log
lavaMD-cuda,2,not_reported,baseline/results/951758/lavaMD-cuda/run-2.log
lavaMD-cuda,3,not_reported,baseline/results/951758/lavaMD-cuda/run-3.log
lavaMD-cuda,4,not_reported,baseline/results/951758/lavaMD-cuda/run-4.log
lavaMD-cuda,5,not_reported,baseline/results/951758/lavaMD-cuda/run-5.log
miniWeather-cuda,1,pass,baseline/results/951758/miniWeather-cuda/run-1.log
miniWeather-cuda,2,pass,baseline/results/951758/miniWeather-cuda/run-2.log
miniWeather-cuda,3,pass,baseline/results/951758/miniWeather-cuda/run-3.log
miniWeather-cuda,4,pass,baseline/results/951758/miniWeather-cuda/run-4.log
miniWeather-cuda,5,pass,baseline/results/951758/miniWeather-cuda/run-5.log
nbody-cuda,1,pass,baseline/results/951758/nbody-cuda/run-1.log
nbody-cuda,2,pass,baseline/results/951758/nbody-cuda/run-2.log
nbody-cuda,3,pass,baseline/results/951758/nbody-cuda/run-3.log
nbody-cuda,4,pass,baseline/results/951758/nbody-cuda/run-4.log
nbody-cuda,5,pass,baseline/results/951758/nbody-cuda/run-5.log
nw-cuda,1,pass,baseline/results/951758/nw-cuda/run-1.log
nw-cuda,2,pass,baseline/results/951758/nw-cuda/run-2.log
nw-cuda,3,pass,baseline/results/951758/nw-cuda/run-3.log
nw-cuda,4,pass,baseline/results/951758/nw-cuda/run-4.log
nw-cuda,5,pass,baseline/results/951758/nw-cuda/run-5.log
scan-cuda,1,pass,baseline/results/951758/scan-cuda/run-1.log
scan-cuda,2,pass,baseline/results/951758/scan-cuda/run-2.log
scan-cuda,3,pass,baseline/results/951758/scan-cuda/run-3.log
scan-cuda,4,pass,baseline/results/951758/scan-cuda/run-4.log
scan-cuda,5,pass,baseline/results/951758/scan-cuda/run-5.log
snake-cuda,1,pass,baseline/results/951758/snake-cuda/run-1.log
snake-cuda,2,pass,baseline/results/951758/snake-cuda/run-2.log
snake-cuda,3,pass,baseline/results/951758/snake-cuda/run-3.log
snake-cuda,4,pass,baseline/results/951758/snake-cuda/run-4.log
snake-cuda,5,pass,baseline/results/951758/snake-cuda/run-5.log
sobel-cuda,1,pass,baseline/results/951758/sobel-cuda/run-1.log
sobel-cuda,2,pass,baseline/results/951758/sobel-cuda/run-2.log
sobel-cuda,3,pass,baseline/results/951758/sobel-cuda/run-3.log
sobel-cuda,4,pass,baseline/results/951758/sobel-cuda/run-4.log
sobel-cuda,5,pass,baseline/results/951758/sobel-cuda/run-5.log
srad-cuda,1,not_reported,baseline/results/951758/srad-cuda/run-1.log
srad-cuda,2,not_reported,baseline/results/951758/srad-cuda/run-2.log
srad-cuda,3,not_reported,baseline/results/951758/srad-cuda/run-3.log
srad-cuda,4,not_reported,baseline/results/951758/srad-cuda/run-4.log
srad-cuda,5,not_reported,baseline/results/951758/srad-cuda/run-5.log
stencil3d-cuda,1,not_reported,baseline/results/951758/stencil3d-cuda/run-1.log
stencil3d-cuda,2,not_reported,baseline/results/951758/stencil3d-cuda/run-2.log
stencil3d-cuda,3,not_reported,baseline/results/951758/stencil3d-cuda/run-3.log
stencil3d-cuda,4,not_reported,baseline/results/951758/stencil3d-cuda/run-4.log
stencil3d-cuda,5,not_reported,baseline/results/951758/stencil3d-cuda/run-5.log
thomas-cuda,1,not_reported,baseline/results/951758/thomas-cuda/run-1.log
thomas-cuda,2,not_reported,baseline/results/951758/thomas-cuda/run-2.log
thomas-cuda,3,not_reported,baseline/results/951758/thomas-cuda/run-3.log
thomas-cuda,4,not_reported,baseline/results/951758/thomas-cuda/run-4.log
thomas-cuda,5,not_reported,baseline/results/951758/thomas-cuda/run-5.log
xsbench-cuda,1,pass,baseline/results/951758/xsbench-cuda/run-1.log
xsbench-cuda,2,pass,baseline/results/951758/xsbench-cuda/run-2.log
xsbench-cuda,3,pass,baseline/results/951758/xsbench-cuda/run-3.log
xsbench-cuda,4,pass,baseline/results/951758/xsbench-cuda/run-4.log
xsbench-cuda,5,pass,baseline/results/951758/xsbench-cuda/run-5.log
