benchmark,run,metric,value,unit,direction,role,source
all-pairs-distance-cuda,1,cpu_reference_time,119.09100000000001,ms,lower,secondary,baseline/results/951758/all-pairs-distance-cuda/run-1.log
all-pairs-distance-cuda,1,k1_register_atomic,0.18893000000000001,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-1.log
all-pairs-distance-cuda,1,k2_shared_tree_reduction,0.159307,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-1.log
all-pairs-distance-cuda,1,k3_cub_block_reduction,0.1574676,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-1.log
all-pairs-distance-cuda,2,cpu_reference_time,119.095,ms,lower,secondary,baseline/results/951758/all-pairs-distance-cuda/run-2.log
all-pairs-distance-cuda,2,k1_register_atomic,0.1888417,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-2.log
all-pairs-distance-cuda,2,k2_shared_tree_reduction,0.15926759999999998,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-2.log
all-pairs-distance-cuda,2,k3_cub_block_reduction,0.1574468,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-2.log
all-pairs-distance-cuda,3,cpu_reference_time,119.20400000000001,ms,lower,secondary,baseline/results/951758/all-pairs-distance-cuda/run-3.log
all-pairs-distance-cuda,3,k1_register_atomic,0.1887426,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-3.log
all-pairs-distance-cuda,3,k2_shared_tree_reduction,0.1591906,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-3.log
all-pairs-distance-cuda,3,k3_cub_block_reduction,0.15736070000000002,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-3.log
all-pairs-distance-cuda,4,cpu_reference_time,119.099,ms,lower,secondary,baseline/results/951758/all-pairs-distance-cuda/run-4.log
all-pairs-distance-cuda,4,k1_register_atomic,0.1887142,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-4.log
all-pairs-distance-cuda,4,k2_shared_tree_reduction,0.15917320000000001,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-4.log
all-pairs-distance-cuda,4,k3_cub_block_reduction,0.15734,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-4.log
all-pairs-distance-cuda,5,cpu_reference_time,118.5,ms,lower,secondary,baseline/results/951758/all-pairs-distance-cuda/run-5.log
all-pairs-distance-cuda,5,k1_register_atomic,0.1887397,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-5.log
all-pairs-distance-cuda,5,k2_shared_tree_reduction,0.1591895,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-5.log
all-pairs-distance-cuda,5,k3_cub_block_reduction,0.15735470000000001,ms,lower,primary,baseline/results/951758/all-pairs-distance-cuda/run-5.log
atomicReduction-cuda,1,atomic_reduction.block_128,690.961,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v2.block_128,845.262,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v4.block_128,850.095,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v8.block_128,833.942,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v16.block_128,721.293,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction.block_256,702.676,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v2.block_256,836.973,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v4.block_256,862.787,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v8.block_256,845.469,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v16.block_256,727.73,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction.block_512,752.773,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v2.block_512,826.135,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v4.block_512,850.346,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v8.block_512,787.227,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v16.block_512,686.451,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction.block_1024,770.225,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v2.block_1024,848.842,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v4.block_1024,848.15,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v8.block_1024,827.551,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,1,atomic_reduction_v16.block_1024,591.136,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-1.log
atomicReduction-cuda,2,atomic_reduction.block_128,690.845,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v2.block_128,845.385,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v4.block_128,850.25,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v8.block_128,834.951,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v16.block_128,722.35,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction.block_256,703.779,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v2.block_256,837.293,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v4.block_256,863.444,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v8.block_256,845.728,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v16.block_256,727.798,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction.block_512,752.144,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v2.block_512,825.713,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v4.block_512,851.034,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
