benchmark,metric,unit,direction,role,runs,median,mean,stddev,min,max
all-pairs-distance-cuda,k1_register_atomic,ms,lower,primary,5,0.1887426,0.18879364,8.090628158555076e-05,0.1887142,0.18893000000000001
all-pairs-distance-cuda,k2_shared_tree_reduction,ms,lower,primary,5,0.1591906,0.15922558,5.227605187846077e-05,0.15917320000000001,0.159307
all-pairs-distance-cuda,k3_cub_block_reduction,ms,lower,primary,5,0.15736070000000002,0.15739396,5.248651636372613e-05,0.15734,0.1574676
all-pairs-distance-cuda,cpu_reference_time,ms,lower,secondary,5,119.095,118.9978,0.2524673444229987,118.5,119.20400000000001
atomicReduction-cuda,atomic_reduction.block_1024,GB/s,higher,primary,5,770.511,770.4598,0.18388844444389488,770.225,770.672
atomicReduction-cuda,atomic_reduction.block_128,GB/s,higher,primary,5,690.845,690.7748,0.3002641503742945,690.219,691.094
atomicReduction-cuda,atomic_reduction.block_256,GB/s,higher,primary,5,702.97,703.1832,0.4265552250295348,702.676,703.779
atomicReduction-cuda,atomic_reduction.block_512,GB/s,higher,primary,5,752.64,752.5762,0.30444795942822084,752.144,752.993
atomicReduction-cuda,atomic_reduction_v16.block_1024,GB/s,higher,primary,5,588.284,588.643,1.357595521501158,587.357,591.136
atomicReduction-cuda,atomic_reduction_v16.block_128,GB/s,higher,primary,5,722.35,722.1436,0.433948660557901,721.293,722.49
atomicReduction-cuda,atomic_reduction_v16.block_256,GB/s,higher,primary,5,728.311,728.3422,0.5484743932035355,727.73,729.188
atomicReduction-cuda,atomic_reduction_v16.block_512,GB/s,higher,primary,5,686.959,687.0924,0.6412916965000997,686.451,688.185
atomicReduction-cuda,atomic_reduction_v2.block_1024,GB/s,higher,primary,5,848.954,848.9522,0.09856246750159559,848.842,849.124
atomicReduction-cuda,atomic_reduction_v2.block_128,GB/s,higher,primary,5,845.385,845.4752,0.30514875061191354,845.17,846.038
atomicReduction-cuda,atomic_reduction_v2.block_256,GB/s,higher,primary,5,837.293,837.098,0.3525949517505691,836.464,837.439
atomicReduction-cuda,atomic_reduction_v2.block_512,GB/s,higher,primary,5,825.838,825.7794,0.3049226787236122,825.238,826.135
atomicReduction-cuda,atomic_reduction_v4.block_1024,GB/s,higher,primary,5,848.148,848.223,0.3264597984438771,847.876,848.844
atomicReduction-cuda,atomic_reduction_v4.block_128,GB/s,higher,primary,5,850.581,850.669,0.5721576705769235,850.095,851.729
atomicReduction-cuda,atomic_reduction_v4.block_256,GB/s,higher,primary,5,863.378,863.2974,0.26419659346779606,862.787,863.54
atomicReduction-cuda,atomic_reduction_v4.block_512,GB/s,higher,primary,5,850.928,850.812,0.24905340792689182,850.346,851.034
atomicReduction-cuda,atomic_reduction_v8.block_1024,GB/s,higher,primary,5,827.979,827.9592,0.4930632413798212,827.278,828.573
atomicReduction-cuda,atomic_reduction_v8.block_128,GB/s,higher,primary,5,834.299,834.3728,0.3886378262598754,833.942,834.951
atomicReduction-cuda,atomic_reduction_v8.block_256,GB/s,higher,primary,5,846.104,845.9184,0.2742528760104488,845.469,846.157
atomicReduction-cuda,atomic_reduction_v8.block_512,GB/s,higher,primary,5,787.501,787.7334,0.7178452758080919,787.078,789.088
bfs-cuda,total_kernel_execution_time,ms,lower,primary,5,1.001259033,0.9994488524,0.004074178730502911,0.994261047,1.004023071
bilateral-cuda,average_kernel_execution_time.3x3,ms,lower,primary,5,0.920257,0.9290698,0.01779300693418626,0.919893,0.964654
bilateral-cuda,average_kernel_execution_time.6x6,ms,lower,primary,5,3.413899,3.4125074,0.003648127881530408,3.405393,3.415581
bilateral-cuda,average_kernel_execution_time.9x9,ms,lower,primary,5,7.276366,7.276363,0.0011199158896989727,7.274392,7.277679
bscan-cuda,block_1024.execution_time,ms,lower,primary,5,0.676225459,0.6762364906,6.646099944658612e-05,0.6761553020000001,0.67635502
bscan-cuda,block_128.execution_time,ms,lower,primary,5,0.341159094,0.3412533834,0.00015318992097862615,0.34110151000000005,0.341513734
bscan-cuda,block_256.execution_time,ms,lower,primary,5,0.676147481,0.6761235059999999,9.936425814747598e-05,0.67600365,0.6762654659999999
bscan-cuda,block_32.execution_time,ms,lower,primary,5,0.173924418,0.17396126480000002,6.900959268217384e-05,0.173884169,0.17404903600000002
bscan-cuda,block_512.execution_time,ms,lower,primary,5,0.675996884,0.676005838,8.000489972246896e-05,0.675914741,0.676116546
bscan-cuda,block_64.execution_time,ms,lower,primary,5,0.341102757,0.3411611892,0.0001295529802735626,0.341022785,0.341339659
bscan-cuda,block_1024.throughput,GElements/s,higher,secondary,5,91.584134,91.5826404,0.009000073013035903,91.56659,91.593636
bscan-cuda,block_128.throughput,GElements/s,higher,secondary,5,22.691584,22.6853192,0.010180051225804548,22.668021,22.695415
bscan-cuda,block_256.throughput,GElements/s,higher,secondary,5,22.898674,22.8994866,0.003365356777519902,22.894679,22.903546
bscan-cuda,block_32.throughput,GElements/s,higher,secondary,5,11.127593,11.1252374,0.004412762971200701,11.119625,11.130168
bscan-cuda,block_512.throughput,GElements/s,higher,secondary,5,45.807551,45.8069446,0.0054214705237618085,45.799443,45.813118
bscan-cuda,block_64.throughput,GElements/s,higher,secondary,5,11.347666,11.345724,0.004308120286157242,11.33979,11.350327
convolution1D-cuda,mask_3.fp32.conv1d-tiled-caching.block_1024,ms,lower,primary,5,1.6372327880000002,1.6371869872,0.0001484924752158967,1.6369052730000002,1.63732666
convolution1D-cuda,mask_3.fp32.conv1d-tiled-caching.block_128,ms,lower,primary,5,1.725917358,1.7259801024,8.961578977296555e-05,1.7259027100000002,1.726125366
convolution1D-cuda,mask_3.fp32.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.642160767,1.64220459,0.00012737069013551923,1.642063599,1.642429077
convolution1D-cuda,mask_3.fp32.conv1d-tiled-caching.block_512,ms,lower,primary,5,1.662307617,1.6623169192,0.00010969856666415517,1.662174805,1.6624523930000001
convolution1D-cuda,mask_3.fp32.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.968318115,2.968329297,3.74537038863323e-05,2.968293945,2.968395264
convolution1D-cuda,mask_3.fp32.conv1d-tiled.block_1024,ms,lower,primary,5,1.706509766,1.7065059572,0.0001562138952313817,1.706253784,1.706680176
convolution1D-cuda,mask_3.fp32.conv1d-tiled.block_128,ms,lower,primary,5,1.748848389,1.749021338,0.0002249471574819412,1.74882666,1.749359009
convolution1D-cuda,mask_3.fp32.conv1d-tiled.block_256,ms,lower,primary,5,1.680371582,1.6803490722,0.00014656310803937972,1.680099365,1.6805506590000001
convolution1D-cuda,mask_3.fp32.conv1d-tiled.block_512,ms,lower,primary,5,1.672754272,1.6727704344,8.132093251453671e-05,1.6726920170000001,1.67291394
convolution1D-cuda,mask_3.fp32.conv1d-tiled.block_64,ms,lower,primary,5,2.969144775,2.969145166,2.415012969739612e-05,2.9691162110000002,2.969184326
convolution1D-cuda,mask_3.fp32.conv1d.block_1024,ms,lower,primary,5,1.434184814,1.4341899414000001,5.487546902070986e-05,1.434109131,1.4342613530000001
convolution1D-cuda,mask_3.fp32.conv1d.block_128,ms,lower,primary,5,1.5054517820000002,1.5054540528,3.4033046442530415e-05,1.5054080810000001,1.505513794
convolution1D-cuda,mask_3.fp32.conv1d.block_256,ms,lower,primary,5,1.4196505130000001,1.4196403076,5.051389151351262e-05,1.419582275,1.419709717
convolution1D-cuda,mask_3.fp32.conv1d.block_512,ms,lower,primary,5,1.4242039789999998,1.4242410156,7.109221671766166e-05,1.4241561280000001,1.4243535159999998
convolution1D-cuda,mask_3.fp32.conv1d.block_64,ms,lower,primary,5,2.9679421390000003,2.96793833,2.7910186620703908e-05,2.967899902,2.967968994
convolution1D-cuda,mask_3.fp64.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.7343728030000003,2.7344129396000003,0.00014351264799117948,2.7342424320000003,2.734627441
convolution1D-cuda,mask_3.fp64.conv1d-tiled-caching.block_128,ms,lower,primary,5,2.7036220699999998,2.7036241698,2.974020379476158e-05,2.7035766600000004,2.703666992
convolution1D-cuda,mask_3.fp64.conv1d-tiled-caching.block_256,ms,lower,primary,5,2.7075207519999998,2.7075351074,3.617090501818533e-05,2.7074929200000004,2.707598633
convolution1D-cuda,mask_3.fp64.conv1d-tiled-caching.block_512,ms,lower,primary,5,2.7242766109999996,2.7242836912,5.395406934187359e-05,2.7242153320000004,2.724360107
convolution1D-cuda,mask_3.fp64.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.986867432,2.9868433106000003,9.241156524063374e-05,2.9867397460000005,2.98698291
