benchmark,variant,metric,unit,value
thomas,official_baseline,kernel_time,ms,2.352232
thomas,local_baseline,kernel_time,ms,1.18025
thomas,optimized,kernel_time,ms,0.975156
thomas,speedup_vs_official,ratio,x,2.41x
thomas,speedup_vs_local,ratio,x,1.21x
gaussian,official_baseline,kernel_time,us,490962
gaussian,local_baseline,kernel_time,us,245453
gaussian,optimized,kernel_time,us,142704
gaussian,speedup_vs_official,ratio,x,3.44x
gaussian,speedup_vs_local,ratio,x,1.72x
jaccard,official_baseline,kernel_time,s,0.01229218
jaccard,local_baseline,kernel_time,s,0.01229456
jaccard,optimized,kernel_time,s,0.01229603
jaccard,speedup_vs_official,ratio,x,1.00x
jaccard,speedup_vs_local,ratio,x,1.00x
bscan,official_baseline,kernel_time,us,2884.6
bscan,local_baseline,kernel_time,us,2894.672
bscan,optimized,kernel_time,us,2908.980
bscan,speedup_vs_official,ratio,x,0.99x
bscan,speedup_vs_local,ratio,x,1.00x
